书名,评分,作者,出版社,出版日期,价格,链接
1Q84 BOOK 1,8.3,[日] 村上春树,南海出版公司,2010-5,36.0,https://book.douban.com/subject/4742918/
哈利·波特与死亡圣器,9.0,[英] J. K. 罗琳,人民文学出版社,2007-10,66.0,https://book.douban.com/subject/2295163/
白鹿原,8.7,陈忠实,人民文学出版社,1997-12,28.0,https://book.douban.com/subject/1085799/
苏菲的世界,8.5,（挪威）乔斯坦·贾德,作家出版社,1999-04,26.8,https://book.douban.com/subject/1045818/
无声告白,8.2,[美] 伍绮诗,江苏凤凰文艺出版社,2015-7,35.0,https://book.douban.com/subject/26382433/
向左走·向右走,8.4,幾米,生活·读书·新知三联书店,2002-8,16.0,https://book.douban.com/subject/1066462/
天龙八部,9.1,金庸,生活.读书.新知三联书店,1994-5,96.0,https://book.douban.com/subject/1255625/
了不起的盖茨比,8.4,菲茨杰拉德,人民文学出版社,2004-06,12.0,https://book.douban.com/subject/1008988/
茶花女,8.2,小仲马,外国文学出版社,1997-3,9.0,https://book.douban.com/subject/1013380/
基督山伯爵,9.0,大仲马,上海译文出版社,1991-12-1,43.9,https://book.douban.com/subject/1085860/
一个陌生女人的来信,8.7,[奥] 斯台芬·茨威格,上海译文出版社,2007-7,20.0,https://book.douban.com/subject/2154960/
呼啸山庄,8.4,（英）勃朗特,人民文学出版社,1999-01-01,27.3,https://book.douban.com/subject/1119522/
亲爱的安德烈,8.6,龙应台,人民文学出版社,2008-12,26.0,https://book.douban.com/subject/3369793/
沉默的大多数,9.1,王小波,中国青年出版社,1997-10,27.0,https://book.douban.com/subject/1054685/
无人生还,8.9,[英] 阿加莎・克里斯蒂,人民文学出版社,2008-3,19.0,https://book.douban.com/subject/3006581/
东方快车谋杀案,9.0,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.0,https://book.douban.com/subject/1827374/
福尔摩斯探案全集（上中下）,9.2,[英] 阿·柯南道尔,群众出版社,1981-8,68.0,https://book.douban.com/subject/1040211/
灿烂千阳,8.8,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.0,https://book.douban.com/subject/2143732/
巴黎圣母院,8.4,[法]雨果,人民文学出版社,1982-6,22.5,https://book.douban.com/subject/1024197/
笑傲江湖（全四册）,9.0,金庸,生活·读书·新知三联书店,1994-5,76.8,https://book.douban.com/subject/1002299/
我不喜欢这世界，我只喜欢你,8.0,乔一,湖南少年儿童出版社,2015-5-1,29.8,https://book.douban.com/subject/26414020/
城南旧事,9.0,林海音 文,中国青年出版社,2003-7,16.0,https://book.douban.com/subject/1254588/
